Episode 0, Total Reward: 354.0, Time Elapsed: 55.48 seconds, epsilon 0.9512056281970315
Models saved at episode 0
Episode 1, Total Reward: 354.0, Time Elapsed: 55.10 seconds, epsilon 0.9047921471137096
Episode 2, Total Reward: 354.0, Time Elapsed: 56.37 seconds, epsilon 0.8606433826830369
Episode 3, Total Reward: 593.0, Time Elapsed: 56.43 seconds, epsilon 0.818648829478636
Episode 4, Total Reward: 354.0, Time Elapsed: 56.48 seconds, epsilon 0.7787033741169904
Episode 5, Total Reward: 596.0, Time Elapsed: 58.03 seconds, epsilon 0.7407070321560997
Episode 6, Total Reward: 351.0, Time Elapsed: 57.33 seconds, epsilon 0.704564697832001
Episode 7, Total Reward: 482.0, Time Elapsed: 58.10 seconds, epsilon 0.6701859060067403
Episode 8, Total Reward: 1353.0, Time Elapsed: 57.74 seconds, epsilon 0.6374846057319378
Episode 9, Total Reward: 481.0, Time Elapsed: 59.91 seconds, epsilon 0.6063789448611848
Episode 10, Total Reward: 603.0, Time Elapsed: 59.13 seconds, epsilon 0.5767910651721362
Models saved at episode 10
Episode 11, Total Reward: 722.0, Time Elapsed: 59.33 seconds, epsilon 0.5486469074854965
Episode 12, Total Reward: 404.0, Time Elapsed: 59.36 seconds, epsilon 0.5218760262931003
Episode 13, Total Reward: 1448.0, Time Elapsed: 41.98 seconds, epsilon 0.5044219150017507
Episode 14, Total Reward: 1127.0, Time Elapsed: 59.05 seconds, epsilon 0.47980896453558947
Episode 15, Total Reward: 481.0, Time Elapsed: 58.55 seconds, epsilon 0.4563969875256424
Episode 16, Total Reward: 732.0, Time Elapsed: 58.30 seconds, epsilon 0.43412738322656147
Episode 17, Total Reward: 849.0, Time Elapsed: 60.03 seconds, epsilon 0.4129444102795546
Episode 18, Total Reward: 1362.0, Time Elapsed: 58.86 seconds, epsilon 0.39279504719041636
Episode 19, Total Reward: 482.0, Time Elapsed: 61.32 seconds, epsilon 0.3736288596154426
Episode 20, Total Reward: 482.0, Time Elapsed: 59.40 seconds, epsilon 0.35539787412304774
Models saved at episode 20
Episode 21, Total Reward: 736.0, Time Elapsed: 59.72 seconds, epsilon 0.3380564581151032
Episode 22, Total Reward: 482.0, Time Elapsed: 60.60 seconds, epsilon 0.3215612056074402
Episode 23, Total Reward: 481.0, Time Elapsed: 59.70 seconds, epsilon 0.3058708285836198
Episode 24, Total Reward: 735.0, Time Elapsed: 5.95 seconds, epsilon 0.30404018556171647
Episode 25, Total Reward: 482.0, Time Elapsed: 59.69 seconds, epsilon 0.2892047357043746
Episode 26, Total Reward: 482.0, Time Elapsed: 60.50 seconds, epsilon 0.2750931723032361
Episode 27, Total Reward: 1099.0, Time Elapsed: 61.30 seconds, epsilon 0.261670173773414
Episode 28, Total Reward: 357.0, Time Elapsed: 60.57 seconds, epsilon 0.24890214202456656
Episode 29, Total Reward: 1076.0, Time Elapsed: 18.64 seconds, epsilon 0.24494943707593364
Episode 30, Total Reward: 1800.0, Time Elapsed: 61.50 seconds, epsilon 0.23299728317032256
Models saved at episode 30
Episode 31, Total Reward: 1293.0, Time Elapsed: 62.64 seconds, epsilon 0.2216283271062282
Episode 32, Total Reward: 1096.0, Time Elapsed: 60.96 seconds, epsilon 0.21081411211133688
Episode 33, Total Reward: 1387.0, Time Elapsed: 61.36 seconds, epsilon 0.20052756994366364
Episode 34, Total Reward: 981.0, Time Elapsed: 61.54 seconds, epsilon 0.19074295313908668
Episode 35, Total Reward: 482.0, Time Elapsed: 61.08 seconds, epsilon 0.1814357705648218
Episode 36, Total Reward: 912.0, Time Elapsed: 63.23 seconds, epsilon 0.17258272611752382
Episode 37, Total Reward: 2196.0, Time Elapsed: 34.15 seconds, epsilon 0.16781508419242955
Episode 38, Total Reward: 1960.0, Time Elapsed: 60.25 seconds, epsilon 0.15962665258019765
Episode 39, Total Reward: 1113.0, Time Elapsed: 12.06 seconds, epsilon 0.15803755013204487
Episode 40, Total Reward: 1334.0, Time Elapsed: 62.89 seconds, epsilon 0.15032620715207148
Models saved at episode 40
Episode 41, Total Reward: 1780.0, Time Elapsed: 52.75 seconds, epsilon 0.1439960880418334
Episode 42, Total Reward: 482.0, Time Elapsed: 61.50 seconds, epsilon 0.1369698893837471
Episode 43, Total Reward: 552.0, Time Elapsed: 61.71 seconds, epsilon 0.13028652967534501
Episode 44, Total Reward: 482.0, Time Elapsed: 60.92 seconds, epsilon 0.1239292803054478
Episode 45, Total Reward: 1831.0, Time Elapsed: 20.34 seconds, epsilon 0.12183925294465245
Episode 46, Total Reward: 1182.0, Time Elapsed: 61.01 seconds, epsilon 0.11589418313627514
Episode 47, Total Reward: 1535.0, Time Elapsed: 31.56 seconds, epsilon 0.11291830038439628
Episode 48, Total Reward: 1840.0, Time Elapsed: 29.10 seconds, epsilon 0.1102391992745224
Episode 49, Total Reward: 2419.0, Time Elapsed: 48.37 seconds, epsilon 0.10591453871833001
Episode 50, Total Reward: 1462.0, Time Elapsed: 21.71 seconds, epsilon 0.10402419584275335
Models saved at episode 50
Episode 51, Total Reward: 1866.0, Time Elapsed: 32.78 seconds, epsilon 0.10125175259422443
Episode 52, Total Reward: 1791.0, Time Elapsed: 34.74 seconds, epsilon 0.0984546470465419
Episode 53, Total Reward: 1497.0, Time Elapsed: 19.99 seconds, epsilon 0.09689113229559868
Episode 54, Total Reward: 913.0, Time Elapsed: 61.66 seconds, epsilon 0.09216339036195662
Episode 55, Total Reward: 1647.0, Time Elapsed: 61.91 seconds, epsilon 0.08766633562601318
Episode 56, Total Reward: 2160.0, Time Elapsed: 47.54 seconds, epsilon 0.08422720375384107
Episode 57, Total Reward: 1013.0, Time Elapsed: 61.08 seconds, epsilon 0.08011739025795171
Episode 58, Total Reward: 1442.0, Time Elapsed: 13.63 seconds, epsilon 0.0792404922286108
Episode 59, Total Reward: 1671.0, Time Elapsed: 48.25 seconds, epsilon 0.07613190441729188
Episode 60, Total Reward: 914.0, Time Elapsed: 61.11 seconds, epsilon 0.07241709596708645
Models saved at episode 60
Episode 61, Total Reward: 1817.0, Time Elapsed: 48.85 seconds, epsilon 0.06950661236461998
Episode 62, Total Reward: 1556.0, Time Elapsed: 28.64 seconds, epsilon 0.06785749754713061
Episode 63, Total Reward: 2101.0, Time Elapsed: 56.77 seconds, epsilon 0.06474046080797893
Episode 64, Total Reward: 1066.0, Time Elapsed: 62.00 seconds, epsilon 0.06158149069261889
Episode 65, Total Reward: 2258.0, Time Elapsed: 61.19 seconds, epsilon 0.058576660539582194
Episode 66, Total Reward: 1609.0, Time Elapsed: 19.27 seconds, epsilon 0.05764643047363786
Episode 67, Total Reward: 1097.0, Time Elapsed: 10.94 seconds, epsilon 0.0571296830358282
Episode 68, Total Reward: 1110.0, Time Elapsed: 12.13 seconds, epsilon 0.05656095019762742
Episode 69, Total Reward: 1569.0, Time Elapsed: 30.56 seconds, epsilon 0.0551637653500615
Episode 70, Total Reward: 401.0, Time Elapsed: 61.73 seconds, epsilon 0.05247208407351888
Models saved at episode 70
Episode 71, Total Reward: 1267.0, Time Elapsed: 62.40 seconds, epsilon 0.049911741693958976
Episode 72, Total Reward: 658.0, Time Elapsed: 21020.76 seconds, epsilon 0.047476329612410224
Episode 73, Total Reward: 1525.0, Time Elapsed: 26.59 seconds, epsilon 0.04644274462557269
Episode 74, Total Reward: 416.0, Time Elapsed: 62.32 seconds, epsilon 0.044176600076762176
Episode 75, Total Reward: 658.0, Time Elapsed: 63.02 seconds, epsilon 0.042021030627625605
Episode 76, Total Reward: 858.0, Time Elapsed: 16.05 seconds, epsilon 0.041436544858949854
Episode 77, Total Reward: 1197.0, Time Elapsed: 15.32 seconds, epsilon 0.04090109000500455
Episode 78, Total Reward: 1573.0, Time Elapsed: 56.62 seconds, epsilon 0.03906135823314322
Episode 79, Total Reward: 892.0, Time Elapsed: 60.27 seconds, epsilon 0.03715538379638627
Episode 80, Total Reward: 1480.0, Time Elapsed: 62.92 seconds, epsilon 0.03534241018494339
Models saved at episode 80
Episode 81, Total Reward: 1623.0, Time Elapsed: 31.06 seconds, epsilon 0.03446937181104186
Episode 82, Total Reward: 1100.0, Time Elapsed: 11.33 seconds, epsilon 0.034160385471039244
Episode 83, Total Reward: 1194.0, Time Elapsed: 16.88 seconds, epsilon 0.033685236269268504
Episode 84, Total Reward: 1198.0, Time Elapsed: 17.18 seconds, epsilon 0.033216696090224825
Episode 85, Total Reward: 1056.0, Time Elapsed: 11.84 seconds, epsilon 0.032886019901610254
Episode 86, Total Reward: 1472.0, Time Elapsed: 19.12 seconds, epsilon 0.032363771549110715
Episode 87, Total Reward: 2582.0, Time Elapsed: 35.44 seconds, epsilon 0.0314382443730581
Episode 88, Total Reward: 1553.0, Time Elapsed: 64.13 seconds, epsilon 0.02990423498828652
Episode 89, Total Reward: 2035.0, Time Elapsed: 61.02 seconds, epsilon 0.02844507662778472
Episode 90, Total Reward: 1494.0, Time Elapsed: 61.74 seconds, epsilon 0.02705711698284466
Models saved at episode 90
