Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
0,0,37.32691025733948,-342.30000000000007,1,1,594,114,2,0,small,False
1,0,33.197674036026,-213.50000000000009,1,1,722,104,2,200,small,False
2,0,32.8629195690155,-342.1600000000001,1,1,593,95,2,0,small,False
3,0,32.91922903060913,-342.2800000000001,1,1,594,103,2,0,small,False
4,0,32.43486404418945,-341.88000000000005,1,1,594,99,2,100,small,False
5,0,32.564358711242676,-342.00000000000006,1,1,594,89,2,100,small,False
6,0,33.04681658744812,-211.8400000000001,1,1,722,100,2,300,small,False
7,0,32.96743559837341,-211.96000000000006,1,1,722,96,2,100,small,False
8,0,0.9560530185699463,204.7,1,1,40,79,1,0,small,False
9,0,0.8627967834472656,218.23999999999998,1,1,40,79,1,0,small,False
10,0,1.0707011222839355,201.2,1,1,40,79,1,0,small,False
0,0,36.82211470603943,-213.64000000000007,1,1,721,101,2,100,small,False
0,0,36.39520835876465,-341.74000000000007,1,1,594,93,2,100,small,False
1,0,0.8931577205657959,211.0,1,1,40,79,1,0,small,False
2,0,32.29893136024475,-342.0800000000001,1,1,594,89,2,0,small,False
3,0,33.19917058944702,-212.66000000000008,1,1,722,99,2,200,small,False
4,0,32.83051896095276,-342.9000000000001,1,1,594,79,2,200,small,False
5,0,33.20613169670105,-213.5600000000001,1,1,721,104,2,100,small,False
6,0,33.57129979133606,-342.9600000000001,1,1,594,84,2,100,small,False
7,0,32.56763291358948,-342.32000000000005,1,1,594,86,2,100,small,False
8,0,0.9583027362823486,208.7,1,1,40,79,1,0,small,False
9,0,0.8237330913543701,213.16,1,1,40,79,1,0,small,False
10,0,32.46727633476257,-341.5200000000001,1,1,594,89,2,0,small,False
11,0,32.71526098251343,-342.0400000000001,1,1,594,101,2,300,small,False
12,0,32.81609320640564,-342.6400000000001,1,1,594,99,2,0,small,False
13,0,0.8635234832763672,210.07999999999998,1,1,40,79,1,0,small,False
14,0,32.743616819381714,-341.7800000000001,1,1,594,101,2,0,small,False
15,0,33.79085087776184,-343.4600000000001,1,1,594,79,2,0,small,False
16,0,34.11647939682007,-341.5800000000001,1,1,594,79,2,0,small,False
17,0,3.856412649154663,555.3199999999999,1,1,40,79,1,0,small,False
18,0,33.14620566368103,-341.94000000000005,1,1,594,103,2,200,small,False
19,0,33.64523911476135,-341.6600000000001,1,1,594,79,2,100,small,False
20,0,33.189977169036865,-343.5400000000001,1,1,593,89,2,0,small,False
21,0,8.171043634414673,437.21999999999997,1,1,40,79,1,100,small,False
22,0,32.098560094833374,-342.4600000000001,1,1,594,103,2,100,small,False
23,0,32.67600655555725,-341.50000000000006,1,1,594,108,2,0,small,False
24,0,0.8769867420196533,208.9,1,1,40,79,1,0,small,False
0,0,34.10601210594177,-342.26000000000005,1,1,593,101,2,0,small,False
1,0,33.15209984779358,-213.38000000000008,1,1,722,105,2,200,small,False
2,0,0.8101427555084229,217.0,1,1,40,79,1,0,small,False
3,0,32.91192078590393,-343.4600000000001,1,1,594,114,2,0,small,False
4,0,1.3231537342071533,206.4,1,1,40,79,1,0,small,False
5,0,33.01975679397583,-343.1000000000001,1,1,594,108,2,0,small,False
6,0,32.357680797576904,-213.40000000000006,1,1,719,79,2,1100,tall,False
7,0,32.37614941596985,-344.38000000000005,1,1,592,106,2,0,small,False
8,0,32.59428572654724,-342.7200000000001,1,1,594,102,2,0,small,False
9,0,32.36026334762573,-343.4800000000001,1,1,594,102,2,100,small,False
10,0,32.74577593803406,-343.0400000000001,1,1,594,105,2,0,small,False
11,0,0.9181256294250488,212.1,1,1,40,79,1,0,small,False
12,0,0.9567041397094727,198.7,1,1,40,79,1,0,small,False
13,0,0.9409763813018799,199.0,1,1,40,79,1,0,small,False
14,0,32.15066146850586,-341.80000000000007,1,1,594,99,2,100,small,False
15,0,32.591144323349,-342.38000000000005,1,1,594,79,2,0,small,False
16,0,2.0288197994232178,600.9,1,1,40,79,1,0,small,False
17,0,32.48765444755554,-342.6400000000001,1,1,594,84,2,200,small,False
18,0,32.148876905441284,-343.8400000000001,1,1,593,93,2,0,small,False
19,0,32.30461645126343,-346.44000000000005,1,1,591,106,2,100,small,False
20,0,32.49657225608826,-212.88000000000008,1,1,722,101,2,200,small,False
21,0,32.33366680145264,-255.34000000000006,1,1,40,79,1,100,small,False
22,0,32.19994497299194,-342.9800000000001,1,1,594,91,2,100,small,False
23,0,35.62215995788574,-342.86000000000007,1,1,593,84,2,100,small,False
24,0,34.91897749900818,-343.2800000000001,1,1,594,104,2,0,small,False
25,0,37.43267512321472,-342.9000000000001,1,1,594,103,2,0,small,False
26,0,21.863660097122192,148.31999999999996,1,1,40,79,1,100,small,False
27,0,39.94446396827698,-213.74000000000007,1,1,722,95,2,200,small,False
28,0,40.583991050720215,-213.70000000000007,1,1,722,106,2,100,small,False
29,0,0.8552758693695068,220.29999999999998,1,1,40,79,1,0,small,False
30,0,1.1262609958648682,199.98,1,1,40,79,1,0,small,False
31,0,14.397112131118774,311.78,1,1,40,79,1,0,small,False
32,0,1.0711870193481445,211.5,1,1,40,79,1,0,small,False
33,0,39.97424030303955,-343.00000000000006,1,1,594,103,2,200,small,False
34,0,39.8437774181366,-342.3400000000001,1,1,594,84,2,0,small,False
35,0,37.44138836860657,-213.30000000000007,1,1,722,106,2,100,small,False
36,0,40.024070024490356,-342.6000000000001,1,1,594,79,2,0,small,False
37,0,36.65705156326294,-342.7000000000001,1,1,594,79,2,0,small,False
38,0,0.8908939361572266,210.29999999999998,1,1,40,79,1,0,small,False
39,0,38.9434757232666,-341.9800000000001,1,1,594,89,2,0,small,False
40,0,39.49551796913147,-213.54000000000008,1,1,722,96,2,100,small,False
41,0,39.852046251297,-213.64000000000007,1,1,722,96,2,100,small,False
42,0,39.92074394226074,-342.18000000000006,1,1,594,79,2,100,small,False
43,0,39.54266381263733,-342.5200000000001,1,1,594,79,2,200,small,False
44,0,39.95099759101868,-342.36000000000007,1,1,594,101,2,200,small,False
45,0,0.9754054546356201,222.73999999999998,1,1,40,79,1,0,small,False
46,0,40.05567193031311,-343.12000000000006,1,1,594,98,2,0,small,False
47,0,0.9650864601135254,218.16,1,1,40,79,1,0,small,False
48,0,36.98521542549133,-343.4600000000001,1,1,594,79,2,0,small,False
49,0,33.96633529663086,-215.2800000000001,1,1,722,79,2,100,small,False
50,0,35.25152564048767,-343.80000000000007,1,1,594,102,2,0,small,False
51,0,34.137144804000854,-343.80000000000007,1,1,594,85,2,0,small,False
52,0,0.6739542484283447,222.7,1,1,40,79,1,0,small,False
53,0,32.7212917804718,-343.62000000000006,1,1,594,79,2,0,small,False
54,0,35.44125556945801,-213.90000000000006,1,1,722,96,2,200,small,False
55,0,34.88711094856262,-342.4600000000001,1,1,594,102,2,0,small,False
56,0,35.249855041503906,-37.340000000000074,1,1,898,79,2,400,small,False
57,0,35.488094329833984,-210.44000000000008,1,1,722,101,2,300,small,False
58,0,0.7078688144683838,222.26,1,1,40,79,1,200,small,False
59,0,35.33062767982483,-210.02000000000007,1,1,722,96,2,300,small,False
60,0,1.8451063632965088,579.62,1,1,40,79,1,100,small,False
61,0,35.37139272689819,-208.52000000000007,1,1,722,101,2,500,small,False
62,0,7.884449481964111,459.44,1,1,40,79,1,0,small,False
63,0,35.688021659851074,-208.54000000000008,1,1,722,79,2,200,small,False
64,0,5.412242889404297,474.21999999999997,1,1,40,79,1,0,small,False
65,0,3.096837043762207,524.54,1,1,40,79,1,100,small,False
66,0,35.592984199523926,-213.48000000000008,1,1,722,79,2,200,small,False
67,0,37.20343852043152,-344.0800000000001,1,1,594,96,2,100,small,False
68,0,38.02587890625,-344.7800000000001,1,1,594,109,2,0,small,False
69,0,37.73220634460449,-345.2200000000001,1,1,594,106,2,0,small,False
70,0,0.821936845779419,225.1,1,1,40,79,1,0,small,False
71,0,38.623976945877075,-344.30000000000007,1,1,594,96,2,100,small,False
72,0,35.08689069747925,-342.38000000000005,1,1,594,89,2,0,small,False
73,0,33.480080127716064,-208.38000000000008,1,1,722,88,2,200,small,False
74,0,34.2416934967041,-204.44000000000008,1,1,722,99,2,200,small,False
75,0,0.8315300941467285,214.44,1,1,40,79,1,0,small,False
76,0,33.045154333114624,-5.500000000000064,1,1,40,79,1,200,small,False
77,0,35.61991810798645,-203.76000000000008,1,1,722,103,2,100,small,False
78,0,0.7707021236419678,225.28,1,1,40,79,1,200,small,False
79,0,8.482034921646118,1156.74,1,1,1320,79,1,200,small,False
80,0,2.607738971710205,549.76,1,1,40,79,1,0,small,False
81,0,1.9893429279327393,591.54,1,1,40,79,1,100,small,False
82,0,0.7264316082000732,224.22,1,1,40,79,1,0,small,False
83,0,0.725191593170166,223.48,1,1,40,79,1,0,small,False
84,0,0.7185366153717041,223.48,1,1,40,79,1,0,small,False
85,0,0.7311644554138184,223.48,1,1,40,79,1,0,small,False
86,0,0.7266829013824463,223.48,1,1,40,79,1,0,small,False
