Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
0,0.3890049457550049,154.59999999999982,1,1,40,84,1,200,small,False
1,1.8535966873168945,162.9999999999999,1,1,39,79,1,0,small,False
2,15.738118410110474,-41.99999999998012,1,1,898,122,2,400,small,False
3,9.945846796035767,442.20000000002176,1,1,40,79,1,400,small,False
4,3.1094207763671875,400.80000000000445,1,1,40,79,1,300,small,False
5,12.22696304321289,360.00000000002115,1,1,40,79,1,400,small,False
6,2.0173768997192383,487.80000000000257,1,1,40,93,1,0,small,False
7,1.6370062828063965,461.0000000000026,1,1,40,79,1,0,small,False
8,3.4224891662597656,546.2000000000064,1,1,39,79,1,300,small,False
9,9.329710960388184,523.0000000000186,1,1,40,79,1,500,small,False
10,0.4720759391784668,180.19999999999987,1,1,40,79,1,0,small,False
11,0.5067582130432129,166.19999999999982,1,1,40,84,1,200,small,False
12,0.5160496234893799,177.19999999999987,1,1,40,84,1,0,small,False
13,1.2571442127227783,504.20000000000164,1,1,40,79,1,0,small,False
14,1.0501031875610352,529.6000000000012,1,1,40,79,1,200,small,False
15,2.2847647666931152,449.6000000000036,1,1,40,84,1,100,small,False
16,0.6530025005340576,171.99999999999991,1,1,40,84,1,0,small,False
17,10.241246223449707,731.8000000000205,1,1,1320,89,1,500,small,False
18,4.197132349014282,592.2000000000068,1,1,39,79,1,400,small,False
19,3.6172242164611816,834.8000000000067,1,1,39,79,1,400,small,False
20,6.00932502746582,418.0000000000118,1,1,40,79,1,500,small,False
21,0.5090179443359375,180.79999999999987,1,1,40,79,1,200,small,False
22,1.0426671504974365,507.00000000000136,1,1,39,79,1,100,small,False
23,1.078979730606079,539.4000000000015,1,1,40,84,1,100,small,False
24,0.4480152130126953,160.19999999999987,1,1,40,93,1,200,small,False
25,4.661373615264893,540.8000000000078,1,1,40,79,1,400,small,False
26,0.5669093132019043,146.9999999999999,1,1,40,93,1,200,small,False
27,1.9112045764923096,452.00000000000296,1,1,40,93,1,100,small,False
28,2.2530810832977295,500.00000000000284,1,1,40,93,1,100,small,False
29,4.267895936965942,1095.2000000000053,1,1,1320,79,1,200,small,False
30,0.45301151275634766,195.3999999999999,1,1,40,79,1,0,small,False
31,15.880897045135498,-47.999999999980076,1,1,892,79,2,300,small,False
32,0.7598669528961182,523.4000000000007,1,1,40,93,1,200,small,False
33,2.851264238357544,1173.8000000000009,1,1,1320,79,1,300,small,False
34,6.793845176696777,671.2000000000126,1,1,40,84,1,500,small,False
35,0.485126256942749,185.19999999999987,1,1,40,84,1,0,small,False
36,9.817386865615845,466.6000000000198,1,1,40,93,1,500,small,False
37,2.3768680095672607,586.0000000000035,1,1,40,93,1,100,small,False
38,1.0688433647155762,545.8000000000012,1,1,40,79,1,100,small,False
39,2.467432737350464,569.2000000000036,1,1,40,84,1,300,small,False
40,0.458798885345459,156.19999999999987,1,1,40,93,1,200,small,False
41,2.62103533744812,414.2000000000044,1,1,40,79,1,300,small,False
42,2.270819902420044,627.4000000000033,1,1,40,79,1,400,small,False
43,0.9616427421569824,571.400000000001,1,1,40,79,1,100,small,False
44,1.419560194015503,466.8000000000019,1,1,40,79,1,100,small,False
45,0.40749645233154297,190.79999999999987,1,1,39,79,1,200,small,False
46,1.2395226955413818,504.80000000000143,1,1,40,93,1,300,small,False
47,7.1908323764801025,391.00000000001353,1,1,40,79,1,200,small,False
48,1.6160125732421875,724.8000000000025,1,1,40,84,1,200,small,False
49,0.466963529586792,157.79999999999987,1,1,40,93,1,200,small,False
50,1.6006360054016113,518.8000000000022,1,1,40,93,1,200,small,False
51,0.5179266929626465,177.79999999999987,1,1,40,84,1,0,small,False
52,5.858541965484619,734.4000000000113,1,1,40,79,1,500,small,False
53,3.7448554039001465,574.2000000000065,1,1,40,93,1,200,small,False
