Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
0,70.20353293418884,354.0,1,1,594,99,2,300,small,False
1,66.45588088035583,354.0,1,1,594,103,2,200,small,False
2,66.88276720046997,354.0,1,1,594,99,2,0,small,False
3,68.12323141098022,354.0,1,1,594,93,2,300,small,False
4,3.2816834449768066,219.0,1,1,40,79,1,0,small,False
5,2.875552177429199,234.0,1,1,40,79,1,0,small,False
6,66.14244151115417,354.0,1,1,594,103,2,100,small,False
7,65.43228483200073,482.0,1,1,722,115,2,200,small,False
8,66.78265237808228,482.0,1,1,722,103,2,100,small,False
9,69.68737506866455,354.0,1,1,594,89,2,100,small,False
10,64.9053213596344,482.0,1,1,722,93,2,200,small,False
11,64.29575729370117,482.0,1,1,722,89,2,100,small,False
12,64.53267288208008,482.0,1,1,722,93,2,200,small,False
13,67.11126637458801,354.0,1,1,594,103,2,100,small,False
14,69.62269949913025,485.0,1,1,722,93,2,1200,tall,False
15,70.27932953834534,482.0,1,1,722,99,2,0,small,False
16,3.196810007095337,233.0,1,1,40,79,1,0,small,False
17,11.29531979560852,585.0,1,1,40,79,1,100,small,False
18,71.6715362071991,482.0,1,1,722,84,2,100,small,False
19,71.98342061042786,482.0,1,1,722,102,2,100,small,False
20,72.21552896499634,481.0,1,1,722,79,2,200,small,False
21,72.4771318435669,481.0,1,1,722,79,2,100,small,False
22,73.03616285324097,482.0,1,1,722,97,2,200,small,False
23,73.26430702209473,353.0,1,1,593,93,2,0,small,False
24,73.70537233352661,482.0,1,1,722,79,2,200,small,False
25,44.230799436569214,487.0,1,1,40,79,1,100,small,False
26,21.046825170516968,610.0,1,1,40,79,1,0,small,False
27,73.49363255500793,482.0,1,1,722,96,2,200,small,False
28,71.95968532562256,589.0,1,1,40,79,1,200,small,False
29,68.53270888328552,651.0,1,1,40,79,1,200,small,False
30,3.0524332523345947,231.0,1,1,40,79,1,0,small,False
31,34.52815246582031,568.0,1,1,40,79,1,100,small,False
32,3.7149415016174316,208.0,1,1,40,79,1,0,small,False
33,72.47760224342346,482.0,1,1,722,118,2,200,small,False
34,74.58923721313477,482.0,1,1,722,107,2,100,small,False
35,67.77646827697754,586.0,1,1,40,79,1,300,small,False
36,75.30577445030212,658.0,1,1,898,103,2,700,small,False
37,75.0198028087616,482.0,1,1,722,79,2,200,small,False
38,3.580319404602051,215.0,1,1,40,79,1,0,small,False
39,70.71974778175354,993.0,1,1,40,79,1,400,small,False
40,75.1607825756073,658.0,1,1,898,114,2,400,small,False
41,75.47373533248901,482.0,1,1,722,105,2,100,small,False
42,11.373067617416382,582.0,1,1,40,79,1,100,small,False
43,11.132070064544678,591.0,1,1,40,79,1,100,small,False
44,3.45619797706604,227.0,1,1,40,79,1,0,small,False
45,11.802976608276367,636.0,1,1,40,79,1,0,small,False
46,75.45703721046448,482.0,1,1,722,109,2,400,small,False
47,2.7883431911468506,242.0,1,1,40,79,1,0,small,False
48,75.62964844703674,482.0,1,1,722,79,2,300,small,False
49,3.2298049926757812,228.0,1,1,40,79,1,0,small,False
50,2.517366647720337,246.0,1,1,40,79,1,0,small,False
51,3.01777720451355,230.0,1,1,40,79,1,0,small,False
52,7.747350454330444,613.0,1,1,40,79,1,0,small,False
53,19.22561812400818,533.0,1,1,40,79,1,100,small,False
54,7.331370115280151,604.0,1,1,40,79,1,0,small,False
55,9.026103973388672,597.0,1,1,40,79,1,100,small,False
56,75.71874356269836,482.0,1,1,722,79,2,200,small,False
57,7.316637277603149,587.0,1,1,40,79,1,100,small,False
58,75.63748216629028,482.0,1,1,722,79,2,400,small,False
59,2.649498224258423,249.0,1,1,40,79,1,0,small,False
60,34.46222949028015,985.0,1,1,40,79,1,300,small,False
61,2.8169474601745605,231.0,1,1,40,79,1,0,small,False
62,76.06857061386108,482.0,1,1,722,79,2,100,small,False
63,11.908203840255737,582.0,1,1,40,79,1,200,small,False
64,44.624990463256836,613.0,1,1,40,79,1,300,small,False
65,10.076271057128906,597.0,1,1,40,79,1,100,small,False
66,44.170008420944214,698.0,1,1,40,79,1,200,small,False
67,19.15107011795044,1020.0,1,1,40,79,1,600,small,False
68,12.210559129714966,562.0,1,1,40,79,1,0,small,False
69,17.714576721191406,613.0,1,1,40,79,1,0,small,False
70,29.690284490585327,689.0,1,1,40,79,1,100,small,False
71,16.86894178390503,620.0,1,1,40,79,1,0,small,False
72,2.8812429904937744,237.0,1,1,40,79,1,0,small,False
73,8.111832618713379,587.0,1,1,40,79,1,100,small,False
74,6.755701541900635,629.0,1,1,40,79,1,300,small,False
75,38.64824199676514,969.0,1,1,40,79,1,200,small,False
76,7.654439687728882,614.0,1,1,40,79,1,0,small,False
77,6.9322638511657715,608.0,1,1,40,79,1,100,small,False
78,14.719717979431152,778.0,1,1,40,79,1,200,small,False
79,20.82630443572998,720.0,1,1,40,79,1,100,small,False
80,10.587382316589355,595.0,1,1,40,79,1,300,small,False
81,24.129616498947144,713.0,1,1,40,79,1,300,small,False
82,50.537551403045654,939.0,1,1,40,79,1,500,small,False
83,10.89158320426941,611.0,1,1,40,79,1,0,small,False
84,11.991088151931763,632.0,1,1,40,79,1,0,small,False
85,23.2994441986084,1005.0,1,1,40,79,1,300,small,False
86,32.73267102241516,675.0,1,1,40,79,1,200,small,False
87,2.7336978912353516,230.0,1,1,40,79,1,0,small,False
88,2.5497820377349854,245.0,1,1,40,79,1,200,small,False
89,45.87431454658508,1257.0,1,1,1320,79,1,300,small,False
90,18.408899307250977,574.0,1,1,40,79,1,200,small,False
91,11.041200160980225,638.0,1,1,40,79,1,100,small,False
92,10.966169357299805,639.0,1,1,40,79,1,0,small,False
93,76.42050814628601,458.0,1,1,698,91,2,200,small,False
94,9.4564208984375,596.0,1,1,40,79,1,100,small,False
95,2.5415613651275635,241.0,1,1,40,79,1,0,small,False
96,10.75540828704834,638.0,1,1,40,79,1,0,small,False
97,7.712163686752319,597.0,1,1,40,79,1,100,small,False
98,77.30321264266968,398.0,1,1,638,79,2,100,small,False
99,2.7959680557250977,246.0,1,1,40,79,1,0,small,False
100,2.8145222663879395,236.0,1,1,40,79,1,0,small,False
101,10.693949460983276,619.0,1,1,40,79,1,0,small,False
102,56.24027156829834,935.0,1,1,40,79,1,500,small,False
103,2.955855131149292,232.0,1,1,40,79,1,0,small,False
104,28.800576210021973,767.0,1,1,40,79,1,200,small,False
105,31.906677722930908,729.0,1,1,40,79,1,300,small,False
106,10.931255102157593,639.0,1,1,40,79,1,0,small,False
107,22.55906653404236,759.0,1,1,40,79,1,200,small,False
108,20.547061920166016,614.0,1,1,40,79,1,0,small,False
109,40.67886447906494,969.0,1,1,40,79,1,300,small,False
110,7.146710395812988,633.0,1,1,40,79,1,300,small,False
111,39.47105550765991,970.0,1,1,40,79,1,700,small,False
112,34.822301387786865,513.0,1,1,40,79,1,0,small,False
113,23.235069036483765,725.0,1,1,40,79,1,400,small,False
114,28.775944471359253,1089.0,1,1,40,79,1,600,small,False
115,25.324758052825928,775.0,1,1,40,79,1,300,small,False
116,2.869786024093628,229.0,1,1,40,79,1,0,small,False
117,31.61683416366577,1000.0,1,1,40,79,1,200,small,False
118,19.45628070831299,766.0,1,1,40,79,1,500,small,False
119,60.04666471481323,686.0,1,1,40,79,1,400,small,False
120,36.53725528717041,974.0,1,1,40,79,1,500,small,False
121,2.9300880432128906,235.0,1,1,40,79,1,200,small,False
122,30.89016556739807,988.0,1,1,40,79,1,200,small,False
123,10.156908988952637,606.0,1,1,40,79,1,100,small,False
124,7.384234666824341,585.0,1,1,40,79,1,0,small,False
125,18.343178033828735,620.0,1,1,40,79,1,200,small,False
126,39.16600561141968,1058.0,1,1,40,79,1,500,small,False
127,2.717028856277466,232.0,1,1,40,79,1,200,small,False
128,9.747280359268188,579.0,1,1,40,79,1,200,small,False
129,12.297534942626953,635.0,1,1,40,79,1,0,small,False
130,7.300995826721191,634.0,1,1,40,79,1,100,small,False
131,23.378769397735596,602.0,1,1,40,79,1,100,small,False
132,8.635393857955933,594.0,1,1,40,79,1,0,small,False
133,11.166306972503662,610.0,1,1,40,79,1,100,small,False
134,2.5560646057128906,251.0,1,1,40,79,1,0,small,False
135,2.4350996017456055,248.0,1,1,40,79,1,0,small,False
136,11.03518795967102,634.0,1,1,40,79,1,100,small,False
