Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
0,0,621.0,5.431503057479858,1,1,434,84,1,0,small,False
1,1,528.0,5.4245123863220215,1,1,593,89,2,200,small,False
2,2,369.0,5.3695738315582275,1,1,434,104,2,0,small,False
3,3,509.0,5.386512279510498,1,1,574,79,2,0,small,False
4,4,739.0,5.368510961532593,1,1,561,95,1,0,small,False
5,0,529.0,2.5827832221984863,1,1,594,99,2,100,small,False
6,1,529.0,2.5737831592559814,1,1,594,110,2,100,small,False
7,2,422.0,2.562781810760498,1,1,487,139,2,100,small,False
8,3,598.0,2.561781406402588,1,1,663,143,2,100,small,False
9,4,468.0,2.560781478881836,1,1,533,108,2,100,small,False
10,0,506.0,2.4061896800994873,1,1,571,97,2,100,small,False
11,1,527.0,2.4918909072875977,1,1,592,102,2,0,small,False
12,2,529.0,2.501889228820801,1,1,594,85,2,100,small,False
13,3,623.0,2.490889072418213,1,1,434,91,1,100,small,False
14,4,529.0,2.468888282775879,1,1,594,79,2,200,small,False
15,0,783.0,2.464035987854004,1,1,594,101,1,100,small,False
16,1,529.0,2.439338207244873,1,1,594,95,2,0,small,False
17,2,446.0,2.467341184616089,1,1,508,117,2,1100,tall,False
18,3,458.0,2.500340223312378,1,1,523,93,2,100,small,False
19,4,783.0,2.5313425064086914,1,1,594,98,1,100,small,False
20,0,771.0,2.6410348415374756,1,1,595,101,1,200,small,False
21,1,774.0,2.6181976795196533,1,1,594,79,1,100,small,False
22,3,879.0,2.5801985263824463,1,1,433,81,0,0,small,False
23,2,529.0,2.6411964893341064,1,1,594,85,2,0,small,False
24,4,529.0,2.6899735927581787,1,1,594,96,2,100,small,False
25,1,368.0,2.4604146480560303,1,1,433,101,2,0,small,False
26,0,774.0,2.554579734802246,1,1,594,83,1,300,small,False
27,3,767.0,2.50071382522583,1,1,594,85,1,0,small,False
28,2,528.0,2.537876844406128,1,1,593,104,2,0,small,False
29,4,369.0,2.517566442489624,1,1,434,79,2,100,small,False
30,0,529.0,2.4214026927948,1,1,594,101,2,0,small,False
31,1,518.0,2.491403579711914,1,1,583,90,2,100,small,False
32,3,369.0,2.423103094100952,1,1,434,101,2,0,small,False
33,2,529.0,2.477945566177368,1,1,594,106,2,0,small,False
34,4,768.0,2.476823329925537,1,1,593,93,1,0,small,False
35,0,404.0,2.459028720855713,1,1,469,111,2,100,small,False
36,3,528.0,2.4150280952453613,1,1,593,84,2,100,small,False
37,1,529.0,2.4801712036132812,1,1,594,96,2,0,small,False
38,2,369.0,2.467503786087036,1,1,434,102,2,300,small,False
39,4,390.0,2.4955763816833496,1,1,455,134,2,100,small,False
40,0,369.0,2.479592800140381,1,1,434,100,2,0,small,False
41,3,529.0,2.4957056045532227,1,1,594,102,2,0,small,False
42,1,529.0,2.5132641792297363,1,1,594,79,2,0,small,False
43,2,713.0,2.5201754570007324,1,1,534,93,1,300,small,False
44,4,608.0,2.506849527359009,1,1,434,103,1,100,small,False
45,0,528.0,2.449972152709961,1,1,593,97,2,0,small,False
46,3,769.0,2.431859254837036,1,1,341,87,0,0,small,False
47,1,529.0,2.4261534214019775,1,1,594,79,2,0,small,False
48,2,529.0,2.412795305252075,1,1,594,96,2,0,small,False
49,4,752.0,2.380819797515869,1,1,570,79,1,300,small,False
