Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
0,68.60345339775085,353.0,1,1,593,101,2,100,small,False
1,72.02096366882324,353.0,1,1,593,101,2,100,small,False
2,67.23862266540527,610.0,1,1,594,84,1,0,small,False
3,68.26159381866455,354.0,1,1,594,79,2,100,small,False
4,68.97888278961182,353.0,1,1,594,99,2,100,small,False
5,64.94390821456909,482.0,1,1,722,108,2,100,small,False
6,66.37176299095154,354.0,1,1,594,106,2,0,small,False
7,69.95041728019714,482.0,1,1,722,89,2,100,small,False
8,64.96822452545166,482.0,1,1,722,101,2,200,small,False
9,68.65456533432007,354.0,1,1,594,79,2,100,small,False
10,69.99603295326233,482.0,1,1,722,84,2,100,small,False
11,70.27780604362488,977.0,1,1,722,109,0,100,small,False
12,70.83107566833496,482.0,1,1,722,99,2,100,small,False
13,18.907798767089844,1116.0,1,1,722,79,255,300,small,False
14,71.16458702087402,354.0,1,1,594,95,2,0,small,False
15,71.24332976341248,354.0,1,1,594,89,2,0,small,False
16,71.93127942085266,535.0,1,1,775,99,2,200,small,False
17,72.49053859710693,482.0,1,1,722,79,2,100,small,False
18,72.42715287208557,482.0,1,1,722,89,2,200,small,False
19,69.03244471549988,1292.0,1,1,275,89,255,200,small,False
20,73.52496480941772,1311.0,1,1,647,103,0,200,small,False
21,73.29064750671387,890.0,1,1,512,93,1,100,small,False
22,73.28828763961792,966.0,1,1,722,103,0,200,small,False
23,74.06531262397766,1150.0,1,1,722,132,1,400,small,False
24,74.22981643676758,485.0,1,1,722,79,2,1000,tall,False
25,74.09655523300171,609.0,1,1,848,104,2,400,small,False
26,74.78439831733704,1195.0,1,1,821,97,1,100,small,False
27,64.62582921981812,1809.0,1,1,670,79,255,400,small,False
28,74.61875867843628,482.0,1,1,722,89,2,200,small,False
29,74.80674314498901,482.0,1,1,722,79,2,100,small,False
30,75.06696581840515,1540.0,1,1,743,201,0,400,small,False
31,14.212940692901611,1052.0,1,1,658,79,255,100,small,False
32,74.91076493263245,1279.0,1,1,434,101,1,700,small,False
33,75.02678203582764,482.0,1,1,722,104,2,400,small,False
34,74.5078284740448,1734.0,1,1,898,79,255,700,small,False
35,8.76340627670288,712.0,1,1,306,79,255,0,small,False
36,75.36379408836365,658.0,1,1,898,79,2,700,small,False
37,75.79234099388123,1342.0,1,1,722,84,0,100,small,False
38,32.958930253982544,1503.0,1,1,722,79,255,400,small,False
39,57.494590044021606,1117.0,1,1,840,79,255,500,small,False
40,53.45099663734436,1654.0,1,1,311,89,255,300,small,False
41,60.08959197998047,1165.0,1,1,312,79,255,100,small,False
42,75.66175556182861,1408.0,1,1,312,113,0,1000,small,False
43,75.60250926017761,1556.0,1,1,482,139,0,500,small,False
44,54.697197675704956,1965.0,1,1,722,79,255,300,small,False
45,71.66566467285156,1499.0,1,1,722,104,0,600,small,False
46,72.10305452346802,2381.0,1,1,706,122,0,1000,small,False
47,36.15533399581909,1393.0,1,1,722,89,255,400,small,False
48,31.63359045982361,1965.0,1,1,1412,255,255,600,small,False
49,71.7957079410553,1445.0,1,1,605,127,1,300,small,False
50,42.87096548080444,2068.0,1,1,830,79,255,400,small,False
51,41.29999279975891,2393.0,1,1,1147,253,255,1000,small,False
52,35.930118560791016,2036.0,1,1,798,79,255,700,small,False
53,68.94558119773865,1843.0,1,1,1361,252,255,400,small,False
54,66.90499424934387,2548.0,1,1,1435,253,255,400,small,False
55,71.54951000213623,2302.0,1,1,626,144,0,900,small,False
56,61.43669319152832,3277.0,1,1,1655,79,255,1000,small,False
57,24.071231603622437,1638.0,1,1,876,79,255,300,small,False
58,27.083575010299683,1610.0,1,1,1416,252,255,300,small,False
59,50.48574662208557,1773.0,1,1,865,79,255,600,small,False
60,76.51556491851807,1546.0,1,1,898,79,0,400,small,False
61,48.05218768119812,2429.0,1,1,1123,254,255,700,small,False
62,42.13235259056091,1814.0,1,1,722,79,255,200,small,False
63,23.74203085899353,1829.0,1,1,1433,252,255,200,small,False
64,47.92950224876404,1778.0,1,1,722,79,255,200,small,False
65,76.85458636283875,2062.0,1,1,725,143,0,700,small,False
66,26.54417896270752,1631.0,1,1,722,79,255,300,small,False
67,22.174834966659546,1639.0,1,1,300,79,255,300,small,False
68,24.946415662765503,1964.0,1,1,674,79,255,400,small,False
69,41.297699213027954,2959.0,1,1,711,79,255,600,small,False
70,37.22154641151428,2151.0,1,1,1502,79,255,300,small,False
71,25.983921766281128,1441.0,1,1,1405,251,255,200,small,False
72,15.189940690994263,1057.0,1,1,664,79,255,400,small,False
73,22.203190326690674,1500.0,1,1,306,79,255,300,small,False
74,20.104674339294434,1646.0,1,1,697,79,255,300,small,False
75,25.79808497428894,1768.0,1,1,313,79,255,100,small,False
76,47.05267882347107,1942.0,1,1,722,79,255,400,small,False
77,39.09848737716675,1841.0,1,1,683,79,255,500,small,False
78,39.70830798149109,1436.0,1,1,1420,253,255,500,small,False
79,44.00823497772217,2263.0,1,1,1109,252,255,1000,small,False
80,33.941060304641724,1590.0,1,1,314,79,255,200,small,False
81,45.130677938461304,2643.0,1,1,1415,251,255,400,small,False
82,25.8438138961792,1971.0,1,1,697,79,255,500,small,False
83,13.179791927337646,1092.0,1,1,687,79,255,300,small,False
84,39.37683939933777,2723.0,1,1,707,79,255,1400,small,False
85,39.19253158569336,1580.0,1,1,313,79,255,300,small,False
86,29.602587461471558,2438.0,1,1,1410,254,255,300,small,False
87,27.694459199905396,1614.0,1,1,889,79,255,400,small,False
88,22.305651664733887,1478.0,1,1,300,79,255,400,small,False
89,38.44639992713928,1791.0,1,1,310,79,255,800,small,False
90,23.3743155002594,1876.0,1,1,722,79,255,400,small,False
91,75.70710682868958,2530.0,1,1,898,79,0,700,small,False
92,56.214187145233154,1700.0,1,1,828,79,255,700,small,False
93,76.62073302268982,1546.0,1,1,885,106,0,600,small,False
94,31.841458559036255,1870.0,1,1,722,79,255,400,small,False
95,63.98948431015015,2188.0,1,1,898,79,255,500,small,False
96,76.40246057510376,2064.0,1,1,580,137,0,300,small,False
97,76.56714272499084,2538.0,1,1,1610,109,0,700,small,False
98,21.411580562591553,1605.0,1,1,869,79,255,200,small,False
99,23.012138605117798,1641.0,1,1,898,79,255,300,small,False
100,30.688177824020386,2269.0,1,1,701,79,255,700,small,False
101,63.98368740081787,2860.0,1,1,1184,79,255,1100,small,False
102,55.69050216674805,2891.0,1,1,851,79,255,1300,small,False
103,14.196187257766724,1448.0,1,1,691,79,255,600,small,False
104,76.90701270103455,2289.0,1,1,722,79,0,1700,tall,False
105,21.64428210258484,1522.0,1,1,313,79,255,500,small,False
106,13.329807996749878,1112.0,1,1,695,79,255,500,small,False
107,31.708925485610962,1376.0,1,1,690,79,255,200,small,False
108,45.567893981933594,3095.0,1,1,1424,255,255,700,small,False
109,48.46533465385437,1552.0,1,1,824,79,255,300,small,False
110,76.99240040779114,1727.0,1,1,898,79,1,1400,small,False
111,37.85841679573059,2226.0,1,1,898,79,255,900,small,False
112,31.82003426551819,1672.0,1,1,830,79,255,600,small,False
113,41.833333253860474,3075.0,1,1,1434,253,255,1000,small,False
114,28.560531616210938,2055.0,1,1,1421,251,255,500,small,False
115,23.511284112930298,1915.0,1,1,1139,255,255,400,small,False
116,23.230548620224,1495.0,1,1,291,79,255,400,small,False
117,36.38959050178528,1987.0,1,1,298,79,255,400,small,False
118,35.8010368347168,1948.0,1,1,1130,253,255,200,small,False
119,7.836893558502197,735.0,1,1,305,79,255,0,small,False
120,20.970730543136597,1518.0,1,1,315,79,255,200,small,False
121,43.1608521938324,2687.0,1,1,1131,252,255,800,small,False
122,25.95506525039673,1865.0,1,1,1124,253,255,500,small,False
123,17.482789278030396,1477.0,1,1,1437,252,255,500,small,False
124,34.971885204315186,2373.0,1,1,1673,79,255,600,small,False
125,38.366848945617676,2296.0,1,1,1130,252,255,600,small,False
126,55.04091548919678,2056.0,1,1,1408,253,255,300,small,False
127,24.897387742996216,1609.0,1,1,315,79,255,100,small,False
128,76.96645283699036,1305.0,1,1,897,79,1,600,small,False
129,53.17026710510254,2413.0,1,1,1138,255,255,800,small,False
130,16.96928644180298,1201.0,1,1,316,79,255,100,small,False
131,31.286545276641846,1425.0,1,1,1400,255,255,100,small,False
132,40.92625951766968,1825.0,1,1,1118,252,255,700,small,False
133,31.67229175567627,2468.0,1,1,1127,253,255,800,small,False
134,25.68428325653076,2286.0,1,1,692,85,255,600,small,False
135,30.77056121826172,1543.0,1,1,798,79,255,600,small,False
136,25.89204978942871,2011.0,1,1,662,79,255,400,small,False
137,45.36888027191162,2230.0,1,1,1113,253,255,800,small,False
138,28.841537952423096,1755.0,1,1,898,79,255,600,small,False
139,21.138357400894165,1590.0,1,1,675,79,255,500,small,False
140,29.70775604248047,1921.0,1,1,312,79,255,400,small,False
141,6.3540871143341064,741.0,1,1,311,91,255,400,small,False
142,30.00270414352417,2178.0,1,1,1417,253,255,1000,small,False
143,73.02637505531311,1336.0,1,1,490,79,1,600,small,False
144,73.69650292396545,737.0,1,1,722,79,1,400,small,False
145,27.489501953125,1624.0,1,1,1416,254,255,1000,small,False
146,41.99228239059448,2256.0,1,1,700,79,255,600,small,False
147,73.51410746574402,2072.0,1,1,716,89,0,600,small,False
148,23.169447898864746,1816.0,1,1,668,79,255,400,small,False
149,30.774441957473755,2188.0,1,1,1415,253,255,800,small,False
150,30.619657516479492,2750.0,1,1,1418,253,255,1300,small,False
151,73.31283068656921,1986.0,1,1,2227,79,2,600,small,False
152,19.879637002944946,1479.0,1,1,1414,254,255,400,small,False
153,74.61897110939026,1126.0,1,1,722,79,1,100,small,False
154,26.566688299179077,2159.0,1,1,1415,252,255,500,small,False
155,27.090575218200684,1477.0,1,1,1434,252,255,700,small,False
156,14.744413375854492,1100.0,1,1,686,79,255,300,small,False
157,14.840170860290527,1477.0,1,1,313,79,255,0,small,False
158,75.93735599517822,2350.0,1,1,898,97,0,1000,small,False
159,76.11786007881165,1941.0,1,1,722,91,0,600,small,False
160,58.34429359436035,1351.0,1,1,1413,251,255,500,small,False
161,34.12236142158508,1988.0,1,1,1802,79,255,1600,small,False
162,30.429428815841675,2198.0,1,1,679,79,255,300,small,False
163,75.76933097839355,2227.0,1,1,722,79,0,800,small,False
164,52.34903573989868,2860.0,1,1,1129,253,255,1100,small,False
165,75.6553156375885,658.0,1,1,898,79,2,500,small,False
166,46.63982152938843,1453.0,1,1,1125,253,255,600,small,False
167,21.840596914291382,1517.0,1,1,303,79,255,300,small,False
168,30.13904309272766,1685.0,1,1,722,79,255,100,small,False
169,75.9043836593628,1297.0,1,1,898,89,1,300,small,False
170,24.92215895652771,2164.0,1,1,303,79,255,100,small,False
171,17.036734342575073,1470.0,1,1,687,79,255,100,small,False
172,29.96349048614502,2349.0,1,1,1523,79,255,400,small,False
173,16.38999915122986,1522.0,1,1,304,79,255,100,small,False
174,35.67365860939026,2130.0,1,1,287,85,255,400,small,False
175,24.984358310699463,1787.0,1,1,300,85,255,200,small,False
176,20.296048402786255,1279.0,1,1,310,79,255,100,small,False
177,41.64231896400452,2467.0,1,1,1410,252,255,800,small,False
178,23.878984689712524,1662.0,1,1,290,79,255,300,small,False
