Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
0,0.6585543155670166,18.0,1,1,40,79,1,200,small,False
1,1.9988539218902588,188.0,1,1,40,79,1,100,small,False
2,4.114086151123047,382.0,1,1,40,79,1,700,small,False
3,3.5914413928985596,330.0,1,1,40,79,1,200,small,False
4,2.187669038772583,437.0,1,1,39,79,1,0,small,False
5,1.277076244354248,-222.0,1,1,40,93,1,0,small,False
0,0.4494316577911377,-152.0,1,1,39,79,1,200,small,False
1,1.3118999004364014,213.0,1,1,40,79,1,0,small,False
2,1.164304494857788,404.0,1,1,40,84,1,200,small,False
3,3.147714138031006,177.0,1,1,40,79,1,0,small,False
4,0.4744279384613037,46.0,1,1,40,84,1,200,small,False
5,0.730853796005249,-186.0,1,1,40,93,1,0,small,False
6,1.5093107223510742,411.0,1,1,39,79,1,200,small,False
7,1.4324257373809814,220.0,1,1,39,79,1,200,small,False
8,0.38601207733154297,50.0,1,1,40,79,1,200,small,False
9,6.837636470794678,524.0,1,1,39,79,1,300,small,False
10,12.54170274734497,567.0,1,1,40,93,1,700,small,False
11,1.6852695941925049,409.0,1,1,39,79,1,100,small,False
12,0.48691654205322266,-162.0,1,1,40,93,1,200,small,False
13,12.032762289047241,929.0,1,1,1320,84,1,400,small,False
14,15.892565488815308,1001.0,1,1,1320,79,1,600,small,False
15,0.4591248035430908,-152.0,1,1,40,93,1,0,small,False
16,6.20242977142334,848.0,1,1,1320,93,1,400,small,False
17,1.5060675144195557,179.0,1,1,40,93,1,0,small,False
18,0.6767685413360596,23.0,1,1,40,84,1,0,small,False
19,3.75869083404541,581.0,1,1,40,79,1,300,small,False
20,1.50506591796875,416.0,1,1,40,84,1,0,small,False
21,18.45337724685669,688.0,1,1,40,79,1,300,small,False
22,1.559692144393921,421.0,1,1,40,79,1,400,small,False
23,13.256872653961182,378.0,1,1,40,84,1,100,small,False
24,11.032063245773315,1104.0,1,1,1320,79,1,500,small,False
25,1.052612543106079,420.0,1,1,40,79,1,0,small,False
26,15.24646544456482,184.0,1,1,40,93,1,400,small,False
27,1.8131413459777832,428.0,1,1,40,79,1,0,small,False
28,10.578968286514282,396.0,1,1,39,79,1,100,small,False
29,6.095978498458862,559.0,1,1,40,79,1,200,small,False
30,0.6330361366271973,30.0,1,1,40,79,1,200,small,False
31,2.5376601219177246,394.0,1,1,40,79,1,0,small,False
32,0.6176245212554932,36.0,1,1,40,79,1,0,small,False
0,1.3351082801818848,39.0,1,1,40,79,1,0,small,False
1,0.4072682857513428,52.0,1,1,40,79,1,0,small,False
2,0.39000773429870605,52.0,1,1,40,79,1,0,small,False
3,0.36429405212402344,52.0,1,1,40,79,1,0,small,False
4,2.9343643188476562,1228.0,1,1,1320,79,1,100,small,False
5,2.509641170501709,364.0,1,1,40,93,1,200,small,False
6,2.066476583480835,237.0,1,1,40,93,1,100,small,False
7,0.500645637512207,38.0,1,1,40,84,1,0,small,False
8,0.381941556930542,51.0,1,1,39,79,1,0,small,False
9,3.226780414581299,626.0,1,1,40,79,1,200,small,False
10,1.5192606449127197,213.0,1,1,40,93,1,100,small,False
11,0.5492522716522217,-166.0,1,1,40,79,1,200,small,False
12,0.8205509185791016,205.0,1,1,40,93,1,300,small,False
13,2.4517648220062256,199.0,1,1,40,79,1,0,small,False
14,0.45731163024902344,52.0,1,1,40,84,1,200,small,False
15,0.443744421005249,46.0,1,1,40,84,1,0,small,False
16,0.5995705127716064,-159.0,1,1,40,93,1,0,small,False
17,0.4196903705596924,49.0,1,1,40,79,1,0,small,False
18,0.7613375186920166,208.0,1,1,40,79,1,100,small,False
19,3.471637487411499,818.0,1,1,40,84,1,100,small,False
20,0.4400665760040283,-161.0,1,1,40,93,1,0,small,False
21,4.360856056213379,586.0,1,1,40,79,1,300,small,False
22,3.646740198135376,733.0,1,1,40,93,1,0,small,False
23,0.5215675830841064,-158.0,1,1,40,93,1,0,small,False
24,1.1330959796905518,213.0,1,1,40,93,1,200,small,False
25,20.666455030441284,254.0,1,1,594,79,2,0,small,False
26,0.8763895034790039,253.0,1,1,40,93,1,200,small,False
27,0.5426061153411865,32.0,1,1,40,84,1,0,small,False
28,2.946730375289917,428.0,1,1,40,79,1,0,small,False
29,0.5173158645629883,50.0,1,1,40,84,1,0,small,False
30,2.8273768424987793,226.0,1,1,40,93,1,100,small,False
0,1.8183090686798096,-207.40000000000018,1,1,40,93,1,0,small,False
1,0.5957653522491455,16.399999999999892,1,1,40,84,1,0,small,False
2,0.49042367935180664,35.19999999999993,1,1,40,84,1,0,small,False
3,0.3869462013244629,-162.40000000000006,1,1,40,93,1,0,small,False
4,0.45633411407470703,-162.40000000000006,1,1,40,79,1,0,small,False
5,0.44416332244873047,-165.20000000000007,1,1,40,93,1,200,small,False
6,0.3515293598175049,-163.60000000000005,1,1,40,79,1,0,small,False
7,1.0795376300811768,-124.00000000000037,1,1,40,79,1,0,small,False
8,0.7124607563018799,13.999999999999915,1,1,40,79,1,0,small,False
9,0.5408580303192139,-185.40000000000012,1,1,40,79,1,0,small,False
10,19.000972509384155,-746.9999999999839,1,1,193,79,2,100,small,False
11,3.2934958934783936,199.00000000000568,1,1,40,93,1,200,small,False
12,0.7541241645812988,-226.80000000000018,1,1,40,93,1,0,small,False
13,19.26958966255188,-751.9999999999835,1,1,188,79,2,300,small,False
14,0.37812137603759766,38.19999999999993,1,1,39,79,1,200,small,False
15,18.432873964309692,381.60000000000923,1,1,1320,79,1,1300,small,False
16,1.939976453781128,157.80000000000257,1,1,40,79,1,0,small,False
17,12.742508172988892,-308.6000000000006,1,1,39,79,1,100,small,False
18,0.42093586921691895,39.19999999999993,1,1,40,84,1,200,small,False
