Episode,Time,Reward,World,Stage,X Position,Y Position,Life,Score,Status,Reached Flag
0,158.35751271247864,354.0,1,1,594,101,2,0,small,False
1,7.324707984924316,241.0,1,1,40,79,1,0,small,False
2,166.57579851150513,354.0,1,1,594,79,2,100,small,False
3,168.19232368469238,354.0,1,1,594,93,2,0,small,False
4,161.186115026474,354.0,1,1,594,101,2,100,small,False
5,162.47828030586243,354.0,1,1,594,106,2,0,small,False
6,161.7767629623413,354.0,1,1,594,93,2,0,small,False
7,164.07056593894958,482.0,1,1,722,89,2,100,small,False
8,164.4753873348236,354.0,1,1,594,93,2,100,small,False
9,6.856531143188477,229.0,1,1,40,79,1,0,small,False
10,174.92874932289124,354.0,1,1,594,103,2,100,small,False
11,82.34851694107056,354.0,1,1,594,79,2,0,small,False
12,82.5423264503479,480.0,1,1,720,102,2,100,small,False
13,81.22969603538513,353.0,1,1,593,103,2,100,small,False
14,65.88751769065857,482.0,1,1,40,79,1,0,small,False
15,3.5221915245056152,232.0,1,1,40,79,1,0,small,False
16,81.36627960205078,353.0,1,1,593,79,2,100,small,False
17,3.3363394737243652,239.0,1,1,40,79,1,0,small,False
18,82.75254535675049,354.0,1,1,594,93,2,0,small,False
19,29.875096321105957,597.0,1,1,40,79,1,0,small,False
20,51.53483843803406,505.0,1,1,40,79,1,0,small,False
21,83.1908586025238,481.0,1,1,721,96,2,200,small,False
22,83.07162141799927,354.0,1,1,594,104,2,100,small,False
23,81.61827397346497,354.0,1,1,594,79,2,0,small,False
24,81.57104229927063,354.0,1,1,594,102,2,100,small,False
25,81.75658822059631,482.0,1,1,722,89,2,100,small,False
26,82.03611087799072,354.0,1,1,594,101,2,0,small,False
27,81.71808767318726,482.0,1,1,722,101,2,100,small,False
28,82.01956462860107,482.0,1,1,722,79,2,300,small,False
29,82.17181992530823,482.0,1,1,722,93,2,200,small,False
30,3.30975604057312,240.0,1,1,40,79,1,0,small,False
31,82.40527319908142,482.0,1,1,722,108,2,100,small,False
32,82.10924696922302,482.0,1,1,722,96,2,100,small,False
33,82.27439022064209,482.0,1,1,722,101,2,100,small,False
34,82.34901356697083,354.0,1,1,594,113,2,100,small,False
35,11.971867084503174,638.0,1,1,40,79,1,0,small,False
36,82.3820652961731,354.0,1,1,594,104,2,100,small,False
37,3.352494716644287,231.0,1,1,40,79,1,0,small,False
38,3.3150219917297363,242.0,1,1,40,79,1,0,small,False
39,82.57987356185913,482.0,1,1,722,103,2,200,small,False
40,3.959249973297119,234.0,1,1,40,79,1,0,small,False
41,83.07199311256409,482.0,1,1,722,79,2,100,small,False
42,84.64978551864624,542.0,1,1,40,79,1,400,small,False
43,3.3250370025634766,242.0,1,1,40,79,1,0,small,False
44,86.22213172912598,482.0,1,1,722,79,2,200,small,False
45,86.27322673797607,658.0,1,1,898,105,2,300,small,False
46,3.694530487060547,228.0,1,1,40,79,1,0,small,False
47,86.19829678535461,482.0,1,1,722,104,2,400,small,False
48,36.649189472198486,540.0,1,1,40,79,1,200,small,False
49,82.3894739151001,653.0,1,1,40,79,1,300,small,False
50,2.7848427295684814,246.0,1,1,40,79,1,0,small,False
51,22.19131064414978,556.0,1,1,40,79,1,0,small,False
52,16.15160822868347,586.0,1,1,40,79,1,0,small,False
53,22.97823715209961,614.0,1,1,40,79,1,100,small,False
54,32.67915463447571,544.0,1,1,40,79,1,100,small,False
55,90.71248269081116,658.0,1,1,898,79,2,800,small,False
56,92.3292179107666,482.0,1,1,722,79,2,100,small,False
